"Pinson, L D - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pinson, Richard A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pitman, J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Pitmon, S B - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pittman, J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pitts, J M - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Pitts, R M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Poe, A G - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Poe, A M - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Poe, A P - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Poe, Hasten E - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Poe, Hastin E - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Polk, I E - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Pollard, R T - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pollock, Wm A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pollock, William A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Porter, H H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Porter, Joseph - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Porter, James S - Age 18, Year: 1863 - First Cavalry, K-R"
"Porter, Thomas - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Porter, W L - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Portwood, E A - Age 18, Year: 1862 - First Cavalry, K-R"
"Portwood, H - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Portwood, J S - Age 20, Year: 1862 - First Cavalry, K-R"
"Poteet, John B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Poteet, John T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Potts, William - Age 44, Year: 1864 - First Cavalry, K-R"
"Powell, E W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Powers, E C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Praytor, George W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Price, John R - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Price, Rufus N - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Price, Rufus W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Prichard, Allen - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Priddy, W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Prince, E - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Prude, Jesse W - Age 32, Year: 1862 - First Cavalry, K-R"
"Prude, William - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Pullium, W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Purnell, George - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Purvine, Davis S - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Purvine, David Sidney - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Putman, L D - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Quarles, William - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Ragins, R Harvey - Age 18, Year: 1861 - First Cavalry, K-R"
"Ragins, S P - Age 25, Year: 1861 - First Cavalry, K-R"
"Ragland, Harrison - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Ragland, Jerry W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Ragland, John W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Ragland, J T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Raglow, Harrison - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Ragley, Harrison - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Raiford, Philip T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Rambo, O H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Randall, W R - Age 20, Year: 1862 - First Cavalry, K-R"
"Rarris, S R - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Rausey, J M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Rayborn, J T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Rayburn, J T - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Rayford, Philip T - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Readmon, H H - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Redfean, H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Redfearn, Harrison - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Reeser, T M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Reeves, James H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Reeves, William - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Reid, H J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Reid, J C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Reinach, D - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Reles, W H H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Reneau, H L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Reneau, J B - Age 27, Year: 1862 - First Cavalry, K-R"
"Rhew, Jas W - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Rhue, J P - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Rice, O - Age 34, Year: 1861 - First Cavalry, K-R"
"Richey, William B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Riebuck, [BLANK] - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Riggs, Z C - Age 33, Year: 1862 - First Cavalry, K-R"
"Rinach, D - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Ritchie, Joseph W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Rives, James H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Rives, R G - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Rives, Robert G - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Roach, T J - Age 28, Year: 1865 - First Cavalry, K-R"
"Robbins, James - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Robbins, J R - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Robbins, W A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Robbins, Winer - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Robbinson, D G - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Roberson, Asa - Age 28, Year: 1862 - First Cavalry, K-R"
"Roberts, John - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Robertson, J M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Robertson, E - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Robertson, Ezra - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Robertson, John - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Robertson, William N - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Robins, James - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Robins, J J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Robins, William A - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Robins, Winter - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Robinson, Daniel G - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Robinson, Ezra - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Robinson, John - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Robinson, John J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Robinson, John Jasper - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Robinson, John W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Robinson, J S - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Roden, George - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Rodgers, James W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Rodgers, J W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Roebuck, John S - Age 26, Year: 1862 - First Cavalry, K-R"
"Rogers, A - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Rogers, A T - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Rogers, H - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Rogers, James - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Rogers, James W - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Rogers, Nic - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Rogers, W - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Rogers, William - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Rogers, Wm J - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Rogester, John - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Rogester, W J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Roland, H G - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Root, Thomas J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Ross, F M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Ross, R P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Rowland, John W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Rowsey, J M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Rowsy, J M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Rowzle, John - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Royals, W H H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Royster, Jno A G - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Royster, J H E - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Royster, John H E - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Rue, James P - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Ruff, F M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Russell, A E - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Russell, Thomas J - Age 18, Year: 1861 - First Cavalry, K-R"
"Rye, D W - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Rye, D N - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Rye, John M - Age [Blank], Year: 1863 - First Cavalry, K-R"
"[BLANK], [BLANK] - Age [BLANK], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Neebil, W H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Neely, F E - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Neely, Frank E - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Neely, J P - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Neenaly, J W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Neiman, G A - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nelms, E J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nelson, A J - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nelson, Stephen G - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nesbit, D R - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nesbit, W H - Age [Blank], Year: 1861 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Newberry, James F - Age 37, Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Newberry, James F - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Newberry, T L - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Newberry, W L - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Newsom, Caswell - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Newsom, James H - Age 35, Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Newsom, Micajah - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Norfleet, F M - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Norflet, F N - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Norris, George - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Norris, John R - Age 32, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Norris, William H - Age 24, Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Norrall, S H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nowland, George - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nowlin, George - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nubers, J J - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Numan, G A - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nunby, S D - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nunen, T T - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nunnally, John W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Nunnally, Ptolemy - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oaks, J K - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oaks, James K - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Obriant, Dennis - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Obriant, John - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"O'Bryant, Dennis - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"O'Bryant, John - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oddam, James A - Age 34, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Odum, James - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oglesby, A A - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oglesby, Augustus A - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oglesby, D F - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oliver, E - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oliver, Elbert - Age 23, Year: 1861 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oliver, Sim - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ollive, H - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Oneal, J W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"O'Neill, J M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"O'Neill, J W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Orman, W W - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Orr, Daniel - Age 38, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Orr, Daniel B - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Osier, Azariah R - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Osier, A K - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Overstreet, W M - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Overton, James J - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Overton, J J - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Overton, J S - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Owen, D - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Owen, J E - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ozier, A R - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ozier, Azariah - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Payne, George W - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Paine, W D - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Palmer, George W - Age 33, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parham, James - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parham, William - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Park, M - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parker, David - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parker, David H - Age 35, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parker, D C - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parks, D A J - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parks, George W - Age 34, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parks, James - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parks, L B - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parks, William T - Age 36, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Parnell, E - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Partee, C W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Partee, J D - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Porter, J D - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Partu, S B - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Pasham, James - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Pate, Boss - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Patterson, Alexander - Age 28, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Patterson, P T - Age 33, Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Payne, A H - Age [Blank], Year: 1861 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Payne, J L - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Payne, W B - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Pearson, C S - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Pearson, R H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Peeler, S G - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Peete, Samuel - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Pennington, Green B - Age 31, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Pennington, J B - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Perkins, John - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Perkins, M - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Perry, J R - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Petrea, H L - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Petty, Alex - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Philips, J A - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Philips, J C - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
